actor,date,director,id,language,rate,rating_num,region,runtime,title,type,year
"邱泽,谢盈萱,陈如山,黄圣球,周洺甫,梁正群,杨丽音,安哲,高隽雅,吴定谦,禾语辰,钟欣凌,万芳,高爱伦","2018-04-22(乌迪内远东电影节),2018-11-02(台湾)","徐誉庭,许智彦",27119586,汉语普通话,8.6,168356,台湾,100分钟,谁先爱上他的 誰先愛上他的,"剧情,喜剧,同性",2018
"迪伦·奥布莱恩,卡雅·斯考达里奥,李起弘,托马斯·布罗迪-桑斯特,罗莎·萨拉查,德克斯特·达登,艾丹·吉伦,威尔·保尔特,吉安卡罗·埃斯波西托,沃尔顿·戈金斯,派翠西娅·克拉克森,巴里·佩珀",2018-01-26(美国/中国大陆),韦斯·鲍尔,26004132,英语,5.3,62486,美国,142分钟,移动迷宫3：死亡解药 Maze Runner: The Death Cure,"动作,科幻,冒险",2018
"肖央,杜鹃,常远,小沈阳,岳云鹏,王小利,衣云鹤,蔡明",2018-12-21(中国大陆),肖央,26994789,汉语普通话,3.8,53797,中国大陆,104分钟,天气预爆,"喜剧,奇幻",2018
"高山南,山崎和佳奈,小山力也,山口胜平,林原惠美,绪方贤一,岩居由希子,高木涉,大谷育江,松井菜樱子,榎本充希子,高岛雅罗,百百麻子,岸野幸正,飞田展男,茶风林,井上和彦,汤屋敦子,千叶一伸,富永美伊奈,川岛得爱,浦山迅,中友子,私市淳,志村知幸,鸟海胜美,冈村明美,西前忠久,利根健太朗,庄司宇芽香,川原庆久,安村直树,诸国沙代子,博多大吉,上户彩,古谷彻","2018-11-09(中国大陆),2018-04-13(日本)",立川让,27110363,日语,5.8,77299,日本,110分钟,名侦探柯南：零的执行人 名探偵コナン ゼロの執行人,"动画,悬疑",2018
"金巴,更登彭措,索朗旺姆","2019-04-26(中国大陆),2018-09-04(威尼斯电影节)",万玛才旦,30283179,藏语,7.2,26664,中国大陆,87分钟,撞死了一只羊,剧情,2018
"路知行,阎萌萌,褚珺,边江,山新,郭政建,张震,苗壮,王冠南,张博恒,惠龙,王凯,苏俣,白雪岑,赵述仁,刘梓乾,王思琦,刘美奂",2018-08-03(中国大陆),刘阔,30146756,汉语普通话,6.9,95137,中国大陆,105分钟,风语咒,"动画,奇幻",2018
"道恩·强森,娜奥米·哈里斯,杰弗里·迪恩·摩根,玛琳·阿克曼,杰克·莱西,乔·曼根尼罗,玛丽·谢尔顿,P·J·伯恩,德米垂斯·格罗斯,杰克·奎德,布里安·希尔,马特·杰拉德,李威尹,尤里亚·费伯,布鲁斯·布莱克希尔,杰森·莱尔斯,马克·威尔斯,阿莉莎·布鲁克,亚当·希泰凯尔,加里·维克斯,阿诺德·陈",2018-04-13(美国/中国大陆),布拉德·佩顿,26430636,英语,6.4,116453,美国,107分钟,狂暴巨兽 Rampage,"动作,科幻,冒险",2018
"汤唯,黄觉,张艾嘉,李鸿其,陈永忠,罗飞扬,曾美慧孜,段钧豪,谢理循,齐溪,明道,龙泽治","2018-12-31(中国大陆),2018-05-15(戛纳电影节)",毕赣,26633257,贵州方言 / 汉语普通话,6.8,154055,中国大陆 / 法国,138分钟,地球最后的夜晚,"剧情,爱情,悬疑",2018
"文章,包贝尔,郭京飞,李成敏,辣目洋子,许君聪,曾一竣,张梦露,戚玉武,仓田保昭,木幡龙,宋佳,文隽",2018-09-30(中国大陆),包贝尔,27149818,汉语普通话,4.2,56821,中国大陆,108分钟,胖子行动队,"喜剧,动作",2018
"桑德拉·布洛克,凯特·布兰切特,安妮·海瑟薇,海伦娜·伯翰·卡特,蕾哈娜,莎拉·保罗森,敏迪·卡灵,奥卡菲娜,詹姆斯·柯登,理查德·阿米蒂奇,格里芬·邓恩,迪德尔·古德温,丹尼埃拉·拉贝尼,埃利奥特·古尔德,夏洛特·柯克,达科塔·范宁,理查德·罗比查乌克斯,达米安·杨,戈登·格里克,凯特琳·梅纳,詹姆斯·比贝里,香农·弗雷尔,康纳尔·多诺万,凯文·布朗,马尔洛·托马斯,丹娜·爱薇,玛丽·路易丝·威尔逊,伊丽莎白·阿什利,凯蒂·霍尔姆斯,肯多尔·詹纳,凯莉·詹娜,金·卡戴珊",2018-06-08(美国),盖瑞·罗斯,26654269,英语 / 印地语 / 法语 / 德语 / 汉语普通话,6.7,157216,美国,110分钟,瞒天过海：美人计 Ocean's Eight,"喜剧,犯罪",2018
"德米安·比齐尔,泰莎·法米加,乔纳斯·布洛凯,邦妮·阿伦斯,维拉·法米加,帕特里克·威尔森,英格丽·比苏,夏洛特·霍普,桑德拉·特蕾丝,奥古斯特·马图洛,迈克尔·史麦利,大卫·霍罗维奇,丽丽·博尔丹,斯嘉丽·希克斯,丽兹·科菲,迪·布拉雷·贝克尔,黛布拉·威尔逊,马克·斯达格,莉迪亚·科洛科,艾玛·阿普尔顿,约翰尼·科瓦内,丹尼尔·曼德尔,西蒙·瑞,桑德拉·罗斯科",2018-09-07(美国),科林·哈迪,26825664,英语 / 法语 / 罗马尼亚语 / 拉丁语,5.9,31885,美国,96分钟,修女 The Nun,"悬疑,惊悚,恐怖",2018
"艾丽西亚·维坎德,多米尼克·威斯特,沃尔顿·戈金斯,吴彦祖,克里斯汀·斯科特·托马斯,汉娜·乔恩-卡门,尼克·弗罗斯特,德里克·雅各比,安东尼奥·阿克儿,亚历山大·维尧姆,杰美·温斯顿,迈克尔·奥拜奥拉,艾米丽·凯里,肯尼思·霍",2018-03-16(美国/中国大陆),罗阿尔·乌索格,3445906,英语,6.0,119099,美国,118分钟,古墓丽影：源起之战 Tomb Raider,"动作,冒险",2018
"里卡多·斯卡马乔,米莱姆·里昂,马丽娅·派雅托,法布里齐奥·本蒂沃利奥,萨拉·卡迪纳莱蒂,尼古拉·潘内利,塞尔吉奥·罗马诺,阿斯卡尼奥·巴尔博,保罗·桑博,杰拉尔多·德布拉西奥,亚历山德拉·卡里略",2018-12-13(意大利),斯蒂法诺·摩尔蒂尼,30384019,意大利语,9.0,3824,意大利,102分钟,看不见的客人(意大利版) Il testimone invisibile,"剧情,悬疑,惊悚,犯罪",2018
"阿尔登·埃伦瑞奇,艾米莉亚·克拉克,伍迪·哈里森,唐纳德·格洛弗,保罗·贝坦尼,乔纳斯·索塔莫,菲比·沃勒-布里奇,沃维克·戴维斯,坦迪·牛顿,克林特·霍华德,伊安·肯尼,理查德·迪克森","2018-05-25(美国/中国大陆),2018-05-10(洛杉矶首映)",朗·霍华德,25900947,英语,6.9,43761,美国,135分钟,游侠索罗：星球大战外传 Solo: A Star Wars Story,"动作,科幻,冒险",2018
"达科塔·约翰逊,詹米·多南,阿莉尔·凯贝尔,埃里克·约翰逊,瑞塔·奥拉,卢克·葛莱姆斯,布兰特·道格尔迪,泰勒·霍奇林,马克斯·马蒂尼,劳拉·雅各布斯,费伊·马斯特森",2018-02-09(美国),詹姆斯·弗雷,26323032,英语,5.6,23736,美国,105分钟,五十度飞 Fifty Shades Freed,"剧情,爱情,情色",2018
"王宁,孔连顺,王智,吴孟达,梁超,郝劭文,张子栋,李欣蕊,张峻豪,今井隆星,宋小宝,曾志伟,叶全真",2018-08-17(中国大陆),朱延平,26309969,汉语普通话,3.5,14097,中国大陆,103分钟,新乌龙院之笑闹江湖,"剧情,喜剧,动作",2018
"水田山葵,大原惠美,嘉数由美,木村昴,关智一,三石琴乃,松本保典,荻野志保子,金元寿子,山下大辉,折笠富美子,悠木碧,大友龙三郎,早见沙织,胜杏里,乃村健次,鸟海胜美,陶山章央,龟井芳子,一条和矢,渡边宜嗣,高桥茂雄,长泽雅美,大泉洋","2018-06-01(中国大陆),2018-03-03(日本)",今井一晓,27069070,日语,6.5,29168,日本,109分钟,哆啦A梦：大雄的金银岛 ドラえもん のび太の宝島,"动画,奇幻,冒险",2018
"蔡珩,顾璇,于恒,成泰燊,马浴柯,陈雨锶",2018-12-29(中国大陆),非行,26744597,汉语普通话,3.2,33217,中国大陆,110分钟,云南虫谷,"动作,奇幻,冒险",2018
"韩莹棣,郑海音,冯远征,石班瑜,涂松岩,杨婷,查琳·易,约翰·卡拉辛斯基,杰森·苏戴奇斯,大卫·克罗斯,迈克尔·佩纳,吴恬敏,杰特·尤尔根斯米尔,安娜·阿卡娜","2019-07-26(中国大陆),2018-09-07(美国)","安恪温,龙子乔",27200988,英语 / 汉语普通话,6.0,4228,中国大陆 / 加拿大,90分钟,未来机器城,"科幻,动画,冒险",2018
"古天乐,陈学冬,郭碧婷,包贝尔,王太利,周冬雨,吴樾,潘斌龙,孔连顺,刘浩,梁大维,许君聪,方中信,何润东,薛凯琪,颖儿,李灿森,卢惠光",2018-12-21(中国大陆),刘伟强,26425062,汉语普通话,3.5,20862,中国大陆 / 香港,104分钟,武林怪兽,"喜剧,奇幻,武侠",2018
"瑞恩·高斯林,克莱尔·芙伊,杰森·克拉克,凯尔·钱德勒,寇瑞·斯托尔,派屈克·福吉特,克里斯托弗·阿波特,塞伦·希德,奥莉维亚·汉密尔顿,巴勃罗·施瑞博尔,谢伊·惠格姆,卢卡斯·哈斯,伊桑·恩布里,布莱恩·达西·詹姆斯,科里·迈克尔·史密斯,克里斯·斯万博格","2018-08-29(威尼斯电影节),2018-10-12(美国)",达米恩·查泽雷,3026559,英语,7.7,30891,美国 / 日本,141分钟,登月第一人 First Man,"剧情,传记,历史",2018
"白客,蓝盈莹,张海宇,周楚濋,曹骏,王玉雯,蒋易,李晨晖,范明,蒋雯丽",2018-03-29(中国大陆),顾长卫,26967920,汉语普通话,4.6,19256,中国大陆,99分钟,遇见你真好,"剧情,喜剧,爱情",2018
"杨太义,李云虎 ,万众 ,聂栋才 ","2019-05-20(中国大陆),2018-10-17(平遥国际电影展)",霍猛,30206431,河南方言,7.5,3484,中国大陆,93分钟,过昭关,"剧情,家庭,儿童",2018
"薛凯琪,陈意涵,张钧甯,迈克·泰森,王水林,陈宝山,阮金红,范湉湉",2018-03-02(中国大陆),黄真真,25856453,汉语普通话,2.7,17943,香港 / 中国大陆,109分钟,闺蜜2,"喜剧,爱情",2018
"菲恩·怀特海德,克雷格·帕金森,爱丽丝·洛维,阿西姆·乔杜里,威尔·保尔特,塔露拉·哈登,卡特里奥·诺克斯,保罗·布拉德利,乔纳森·阿里斯,A·J·霍顿,弗勒尔·基思,劳拉·埃弗兰,阿伦·阿萨德,苏珊妮·伯登,杰夫·明特,乔恩-乔·英克彭,汤姆·麦卡尔,埃利·皮尔西,斯蒂芬·拉什布鲁克,罗森达·桑德尔,桑德拉·特蕾丝",2018-12-28(美国),大卫·斯雷德,30414462,英语,6.9,54327,英国 / 美国,90分钟,黑镜：潘达斯奈基 Black Mirror: Bandersnatch,"剧情,科幻,悬疑,惊悚",2018
"小沈阳,潘斌龙,宋芸桦,金士杰,刘桦,胡明,曹瑞,陈惠敏,姚中仁,李立群,苑琼丹,肖央,杨树林,陈汉典,九孔,纳豆,沈春阳,高捷,马浴柯",2018-06-15(中国大陆),小沈阳,26818314,汉语普通话,3.7,33239,中国大陆,99分钟,猛虫过江,"喜剧,动作",2018
"郑伊健,陈小春,谢天华,钱嘉乐,林晓峰,曾志伟,佘诗曼,张雅玫,吴永伦","2018-09-21(中国大陆),2018-09-20(香港)",钱嘉乐,27069427,粤语 / 汉语普通话,5.0,39680,中国大陆,99分钟,黄金兄弟,"动作,犯罪",2018
"都暻秀,朴慧秀,吴政世,金民浩,朴真珠,白仁权,杰瑞德·格里姆斯,罗斯·凯特尔",2018-12-19(韩国),姜炯哲,27042467,韩语,8.2,25571,韩国,133分钟,摇摆狂潮 스윙키즈,"剧情,歌舞,战争",2018
"弗莱德里奇·穆克,卡罗利妮·舒赫,大卫·克劳斯,艾丽西娅·冯·里特贝格,托马斯·克莱舒曼,乔纳斯·霍登里德尔,蒂尔曼·多布勒,克里斯蒂安·内特,罗纳德·库克利斯,塞巴斯蒂安·胡克,乌尔里奇·布兰德霍夫,柏恩德·麦克·莱德,凯·伊沃·保利兹,贝恩德·斯特格曼,安婕·特拉乌",2018-09-27(德国),米夏埃尔·赫尔比希,30192401,德语 / 英语,8.4,14528,德国,125分钟,气球 Ballon,"剧情,惊悚,历史",2018
"基努·里维斯,爱丽丝·伊芙,艾米丽·阿琳·林德,托马斯·米德蒂奇,恩杰伊·安东尼,约翰·奥提兹,尼亚切·海邓迪,艾莉亚·莱蕊克·勒布,艾梅柏·里维拉,艾梅柏·汤森,杰弗里·霍尔斯曼,桑娴·洛格罗诺,奥马尔·克鲁兹·索托,伊万·J·托雷斯·拉桑塔,让·皮埃尔·普拉茨,伊夫林·迪安-奥姆斯特德","2018-11-23(中国大陆),2019-01-11(美国)",杰弗利·纳赫马诺夫,26219713,英语,6.1,10763,英国 / 中国大陆 / 波多黎各 / 美国,107分钟,克隆人 Replicas,"科幻,悬疑,犯罪",2018
"杨幂,郭京飞,李鸿其","2018-10-19(中国大陆),2018-09-09(多伦多电影节)",刘杰,27039069,汉语普通话,5.2,35325,中国大陆,96分钟,宝贝儿,剧情,2018
"杰克·布莱克,凯特·布兰切特,欧文·瓦卡罗,凯尔·麦克拉克伦,芮妮·戈兹贝里,考林·加普,桑尼·苏尔季克,洛伦扎·伊佐,布拉克斯顿·比肯,Vanessa Anne Williams,查尔斯·格林,De'Jon Watts,艾伦·比尔纳,Christian Calloway,伊莱·罗斯,Anna Chuancheun,德梅特里·兰德尔,佩拉·米德尔顿","2018-11-01(中国大陆),2018-09-21(美国)",伊莱·罗斯,10759740,英语,5.5,13915,美国 / 印度 / 加拿大,104分钟,滴答屋 The House with a Clock in its Walls,"喜剧,惊悚,奇幻,冒险",2018
"迈克尔·B·乔丹,西尔维斯特·史泰龙,泰莎·汤普森,杜夫·龙格尔,弗罗里安·穆特鲁,布里吉特·尼尔森,罗素·霍恩斯比,伍德·哈里斯,米洛·文堤米利亚,菲利西亚·拉斯海德,迈克尔·巴佛,安德烈·沃德,迈尔斯·哈姆帕斯,伊沃·南迪,克里斯托弗·曼恩","2019-01-04(中国大陆),2018-11-21(美国)",小斯蒂芬·卡普尔,26707088,英语,7.1,16796,美国,130分钟,奎迪：英雄再起 Creed II,"剧情,运动",2018
"赵路,武皓栋,殷筱瑜,金蝉妃,童自荣,吴磊,赵乾景,李传缨,姜玉玲,曹真,王肖兵","2018-03-09(中国大陆),2018-08-24(美国)","赵锐,克里斯托弗·詹金斯",26603666,汉语普通话 / 英语,7.1,16903,中国大陆 / 美国,90分钟,妈妈咪鸭,"喜剧,动画,家庭,冒险",2018
