actor,date,director,id,language,rate,rating_num,region,runtime,title,type,year
"罗根·马歇尔-格林,梅拉里·沃列何,哈里森·吉尔伯特森,本尼迪克·哈迪,克里斯托弗·卡比,理查德·考索恩,琳达·克罗珀,贝蒂·加布里埃尔,罗斯科·坎贝尔,理查德·阿纳斯塔西奥斯,史蒂夫·丹尼尔森,迈克尔·M·福斯特,雷纳·加拉赫,克莱顿·雅各布森","2018-03-10(西南偏南电影节),2018-06-01(美国)",雷·沃纳尔,27093707,英语,8.1,87399,澳大利亚,100分钟,升级 Upgrade,"动作,科幻,惊悚",2018
"连姆·尼森,维拉·法米加,帕特里克·威尔森,乔纳森·班克斯,山姆·尼尔,伊丽莎白·麦戈文,基连·斯科特,沙扎德·拉蒂夫,安迪·尼曼,克拉拉·拉戈,罗兰·默勒,弗洛伦斯·皮尤,迪恩·查尔斯·查普曼,埃拉-雷·史密斯,妮拉·阿利亚,柯林·麦克法兰,寇布勒·霍尔德布鲁克-史密斯,亚当·那加提斯,金斯利·本-阿德,戴姆森·伊德瑞斯,本·卡普兰,利蒂希娅·赖特,杰米·比米什","2018-03-30(中国大陆),2018-01-12(美国)",佐米·希尔拉,7056414,英语,6.6,50562,美国 / 英国,105分钟,通勤营救 The Commuter,"动作,惊悚,犯罪",2018
"约翰·C·赖利,萨拉·西尔弗曼,盖尔·加朵,塔拉吉·P·汉森,杰克·麦克布瑞尔,简·林奇,艾伦·图代克,阿尔弗雷德·莫里纳,艾德·奥尼尔,肖恩·吉布朗尼,弗卢拉·博格,蒂莫西·西蒙斯,黄阿丽,韩秘书·布雷克,葛洛泽尔·格林,瑞贝卡·薇索基,山姆·理查森,雅布其·杨-怀特,莫里斯·拉马奇,梅丽莎·维拉斯诺,凯蒂·洛斯,贾米·埃曼,霍拉提奥·桑斯,亚历克斯·莫法特,琼·斯奎布,德拉·萨巴,菲尔·约翰斯顿,约翰·迪·玛吉欧,瑞奇·摩尔,科琳·巴林杰,达尼·费尔南德斯,蒂芙妮·赫雷拉,阿娜·奥缇兹,迪安娜·阿格隆,杰森·曼兹沃克斯,雷蒙德·S·佩尔西,伏霞,罗杰·克莱格·史密斯,蒂姆·艾伦,布拉德·加内特,安东尼·丹尼尔斯,科里·伯顿,范·迪塞尔,维韦卡·波林,迈克·吉亚奇诺,凯文·迪特斯,尼可·斯彻金格,丹·雷诺斯,艾琳·贝达,克里斯汀·贝尔,裘蒂·班森,奥丽伊·卡瓦洛,詹妮弗·黑尔,凯特·希金斯,琳达·拉金,凯莉·麦克唐纳,伊迪娜·门泽尔,曼迪·摩尔,佩吉·奥哈拉,帕米拉·里本,阿尼卡·诺尼·罗斯,温明娜,珍妮卡·贝尔格雷,比尔·哈德尔","2018-11-23(中国大陆),2018-11-21(美国)","菲尔·约翰斯顿,瑞奇·摩尔",20438964,英语,8.1,232641,美国,112分钟,无敌破坏王2：大闹互联网 Ralph Breaks the Internet,"喜剧,动画,奇幻,冒险",2018
"黄才伦,艾伦,宋阳,卢靖姗,沈腾,韩彦博,陈冰,张镨冉,王宇,赵雪,常远,王成思,张琛,魏玮,陶亮,朱微玮,芦莹,李海银,何子君,高海宝,刘坤,钱晨光,乌日塔,杨洁,向斐,何孟卓,王野苓,喜子,张琳",2018-09-30(中国大陆),吴昱翰,27092785,汉语普通话,4.6,213652,中国大陆,113分钟,李茶的姑妈,喜剧,2018
"瑞恩·雷诺兹,乔什·布洛林,朱利安·迪尼森,斯蒂芬·卡皮契奇,莎姬·贝兹,T·J·米勒,莱斯利·格塞斯,卡兰·索尼,布里安娜·希德布兰德,莫蕾娜·巴卡琳,杰克·凯西,埃迪·马森,忽那汐里,兰德尔·瑞德,尼古莱·维切尔,赛尔·哈里斯,罗伯·德兰尼,刘易斯·谭,比尔·斯卡斯加德,泰瑞·克鲁斯,布拉德·皮特,罗伯特·梅耶,艾伦·图代克,马特·达蒙,海莉·塞尔斯,麦克·多普德,卢克·勒斯勒尔,亨特·狄龙,大卫·雷奇,山姆·哈格雷夫,尼古拉斯·霍尔特","2019-01-25(中国大陆),2018-05-18(美国)",大卫·雷奇,26588308,英语,7.3,284537,美国,119分钟,死侍2：我爱我家 Deadpool 2,"喜剧,动作,科幻,冒险",2018
"井柏然,周冬雨,田壮壮,曲哲明,刘启恒,苏小明,邹倚天,张子贤,施予斐,李剑青",2018-04-28(中国大陆),刘若英,26683723,汉语普通话,5.9,265473,中国大陆,120分钟,后来的我们,"剧情,爱情",2018
"汤姆·克鲁斯,亨利·卡维尔,文·瑞姆斯,西蒙·佩吉,丽贝卡·弗格森,西恩·哈里斯,安吉拉·贝塞特,凡妮莎·柯比,米歇尔·莫纳汉,韦斯·本特利,费雷德里克·施密特,亚历克·鲍德温,杨亮,克里斯托弗·约纳尔,沃尔夫·布利策,拉斐尔·琼勒,安德鲁·卡扎纳夫·平,克里斯多夫·德·舒瓦西,拉裴尔·德普雷,让·巴普蒂斯特·菲永,马克斯·盖勒,奥利维尔·体班德,亚历山大·普尔,阿利克斯·贝纳泽什,乔伊·安沙,维利贝·托皮奇,格雷厄姆·福克斯,卡斯珀·菲利普森,菲恩·乔利,鲁斯·贝恩,奈杰尔·艾伦","2018-08-31(中国大陆),2018-07-27(美国)",克里斯托弗·麦奎里,26336252,英语 / 法语,8.1,384154,美国 / 中国大陆 / 法国 / 挪威,147分钟,碟中谍6：全面瓦解 Mission: Impossible - Fallout,"动作,惊悚,冒险",2018
"柄本佑,染谷将太,石桥静河,足立智充,山本亚依",2018-09-01(日本),三宅唱,26969120,日语,7.6,5553,日本,106分钟,你的鸟儿会唱歌 きみの鳥はうたえる,"剧情,爱情",2018
"克里斯·帕拉特,布莱丝·达拉斯·霍华德,贾斯蒂斯·史密斯,伊莎贝拉·瑟蒙,拉菲·斯波,托比·琼斯,泰德·拉文,詹姆斯·克伦威尔,黄荣亮,丹妮艾拉·皮内达,杰拉丁·卓别林,杰夫·高布伦,卡米尔·雷米泽斯基,丹尼尔·斯蒂森,皮特·杰森,迈克尔·帕帕约翰,罗伯特·埃姆斯,罗南·萨莫尔斯,麦克斯·贝克,丹尼尔·厄根,戴维·奥拉瓦莱·阿印德","2018-06-15(中国大陆),2018-06-22(美国)",胡安·安东尼奥·巴亚纳,26416062,英语,6.7,281509,美国 / 西班牙,128分钟,侏罗纪世界2 Jurassic World: Fallen Kingdom,"动作,科幻,冒险",2018
"克里斯蒂安·史莱特,凡妮莎·威廉斯,比利·布朗,克里斯汀·鲍尔,吉迪恩·埃默里,连姆·麦肯泰尔,塔拉·斯特朗,大卫·博特,特雷弗·德瓦,戴夫·芬诺伊,格雷戈·格伦伯格,C·托马斯·豪威尔,茜丝·琼斯,娜塔莉·兰德,马修·默瑟,朱莉·内桑森,吉姆·皮里,丹妮亚·拉米雷兹,詹姆斯·乌尔班尼亚克",2018-04-10(美国),刘山姆,27098363,英语,7.4,9866,美国,86分钟,自杀小队：严厉惩罚 Suicide Squad: Hell to Pay,"动作,动画",2018
"朱丽安·摩尔,约翰·特托罗,迈克尔·塞拉,西恩·奥斯汀,布拉德·加内特,阿兰娜·乌巴赫,珍妮·特里普里霍恩,霍兰德·泰勒,丽塔·威尔逊,卡西·汤普森,克里斯·马尔基,凯伦·皮斯托里斯,泰森·里特,珍妮卡·贝尔格雷,巴巴拉·苏科瓦,桑德拉·罗斯科,南希·德马尔斯,巴尔巴拉·斯科拉罗,杰西·欧文,科琳娜·哈尼,克里斯托弗·艾伯,托马斯·詹姆斯·凯普纳","2018-09-07(多伦多电影节),2019-03-08(美国)",塞巴斯蒂安·莱里奥,27062816,英语,7.1,1310,美国,102分钟,葛洛利亚·贝尔 Gloria Bell,"剧情,爱情",2018
"麦斯·米科尔森,玛丽亚·塞尔玛·玛拉多提尔","2018-05-10(戛纳电影节),2019-02-01(美国)",乔·佩那,27036483,英语 / 丹麦语,7.0,2849,冰岛,97分钟,北极 Arctic,"剧情,冒险",2018
"克里夫·欧文,阿曼达·塞弗里德,科鲁姆·费奥瑞,索尼亚·瓦格尔,马克·奥布莱恩,乔·平格,伊多·戈德堡,塞巴斯蒂安·皮戈特,瑞秋·罗伯茨,马克·格拉齐尼,康拉德·科茨,梅寇·阮,萨拉·米蒂奇,达蒙·伦延","2018-05-03(希腊),2018-05-25(德国)",安德鲁·尼科尔,26722224,英语,6.3,5815,德国 / 美国 / 加拿大,100分钟,匿名者 Anon,"科幻,惊悚",2018
"中川大志,唐田英里佳,伊藤健太郎,若林时英,甲斐翔真,荒川良良,小池彻平",2018-10-12(日本),井口升,30200998,日语,5.3,308,日本,95分钟,接招吧！那边的女孩 覚悟はいいかそこの女子。,爱情,2018
"露西·海尔,泰勒·珀西,维奥莱特·比恩,司徒颂曦,索菲娅·阿里,诺兰·杰拉德·冯克,兰登·莱伯隆,山姆·勒纳,汤姆·蔡,奥罗拉·佩里纽,格雷格·丹尼尔,布莱德利·史密斯,维拉·泰勒,埃兹·加西亚,安德鲁·霍华德,奥马尔·莱瓦,莱斯莉·斯特拉顿,查森·班克斯,玛茜·简,亚历山大·罗伯茨,艾莉·劳弗,摩根·林霍尔姆,鲁本·加菲亚斯,布拉德利·斯内德克,蒂姆·内夫,乔·奥克曼,塞拉·希乌尔曼,多米尼克·韦德",2018-04-13(美国),杰夫·瓦德洛,26998315,英语,6.1,6816,美国,100分钟,真心话大冒险 Truth or Dare,"惊悚,恐怖",2018
"马东锡,金赛纶,李相烨,陈善圭,张光,申世辉,吴熙俊,裴真雅",2018-11-07(韩国),林镇秀,27091624,韩语,5.9,2304,韩国,99分钟,邻里的人们 동네사람들,"动作,悬疑",2018
"拉斐尔·佩尔索纳,维尔日妮·埃菲拉,多米尼克·皮侬,弗朗兹·康菲艾克,克莱尔·巴拉达特,Laurent Natrella,尼克·奥弗曼,拉什达·琼斯,保罗·吉亚玛提,史蒂芬·克雷默·格利克曼,艾迪·斯皮尔斯,弗卢拉·博格,大卫·博特,汤姆·莫顿","2019-06-14(中国大陆),2018-01-21(圣丹斯电影节),2018-03-28(法国)",亚历山大·埃斯皮加雷斯,27621991,法语 / 英语,7.6,2017,法国 / 卢森堡 / 美国,85分钟,白牙 Croc-Blanc,"动画,冒险",2018
"郑帝元,申银秀,许真,徐贤宇,孔敏晶,卢·苏珊娜",2018-01-06(韩国),李润珍,27621192,韩语,7.6,6397,韩国,75分钟,文集 문집,"剧情,爱情",2018
"伊赫斯·贝尔本,弗洛里安·大卫·菲茨,克里斯托夫·玛丽亚·赫布斯特,塞尔坎·卡亚,卡罗琳·彼得斯,亚妮娜·乌泽,尤斯图斯·冯·多赫纳尼,克里斯蒂安·斯基宾斯基",2018-10-18(德国),宋克·沃特曼,30183061,德语,7.5,1514,德国,91分钟,一次聚会 Der Vorname,喜剧,2018
"韩庚,杰瑞米·埃尔卡伊姆,菅纫姿,阿丽斯·德·朗克桑,海伦·文森特,雷诺·科恩,胡瑞杰,安迪·吉雷,邓紫衣,罗阜艺,朱宏奇",2018-04-13(中国大陆),王超,25727544,汉语普通话 / 英语 / 藏语 / 法语,4.4,5317,中国大陆 / 法国,83分钟,寻找罗麦,"剧情,爱情",2018
"Ruta Kronberga,Elina Vane,Arturs Skrastins,Gundars Abolins,Lauma Balode,Lolita Cauka,Vilis Daudzins,Maija Doveika,Peteris Liepins,Lilita Ozolina,Intars Resetins,古娜·扎丽娜",2018-04-20(拉脱维亚),伊娜拉·科尔曼,27204504,拉脱维亚语,8.1,128,拉脱维亚,104分钟,比莱 Bille,剧情,2018
"聂远,谭凯,徐露,于明加,曲高位,张陆,程煜,宋春丽,刘小宁,石兆琪,董博睿,彭凌,刘泳希,王志刚,史光辉,袁满",2018-09-06(中国大陆),姜凯阳,26954268,汉语普通话,4.9,7280,中国大陆,96分钟,道高一丈,"剧情,悬疑,犯罪",2018
"宋康昊,曹政奭,裴斗娜,李星民,金大明,金素真,李熙俊,赵宇镇",2018-12-19(韩国),禹民镐,26945122,韩语,5.7,7159,韩国,139分钟,麻药王 마약왕,"剧情,动作,犯罪",2018
"Steve Wall,吉斯·纳贝,雷蒙德·提哈瑞,Horace Cohen,萨姆·卢维克,提伯·范登博尔,Paloma Aguilera Valdebenito,Lynsey Beauchamp,Antony Acheampong,Genelva Krind,Medina Schuurman,Arjan Ederveen,Rob Scholte",2018-11-01(荷兰),Rolf van Eijk,30384806,英语 / 荷兰语,6.3,145,荷兰,83分钟,我心愚钝 My Foolish Heart,剧情,2018
"拉吉尼坎塔,阿克谢·库玛尔,艾米·杰克逊,阿迪勒·侯赛因,苏丹舒·潘迪,卡拉巴万·沙约翰,阿南特·纳拉扬·马哈德凡,梅伊尔萨米,伊莎里·加内什,凯扎德·科特瓦尔,巴拉斯·雷迪,玛雅·S·克里希南","2019-07-12(中国大陆),2018-11-29(印度)",S·尚卡尔,26981165,泰米尔语 / 泰卢固语 / 印地语,6.1,2220,印度,148分钟,宝莱坞机器人2.0：重生归来 2.0,"喜剧,动作,科幻",2018
"王力宏,宋茜,高以翔,高圣远,吴千语,张智霖,柳岩,李媛,伍嘉成,那威,纪焕博",2018-10-01(中国大陆),雷尼·哈林,26816372,汉语普通话,4.3,7015,中国大陆,105分钟,古剑奇谭之流月昭明,"动作,奇幻,古装",2018
"路易·加瑞尔,莱蒂西娅·卡斯塔,莉莉-罗丝·德普,达利·本萨拉赫,亚瑟·伊瓜尔,Joseph Engel,Diane Courseille,Vladislav Galard,Bakary Sangaré,Kiara Carrière","2018-09-09(多伦多电影节),2018-12-26(法国)",路易·加瑞尔,28510423,法语,6.8,375,法国,75分钟,一个忠诚的男人 L'homme fidèle,"剧情,喜剧,爱情",2018
"三浦春马,白石麻衣",2018-05-12(日本),"植田泰史,中村亮太",30196755,日语,7.3,8123,日本,106分钟,世界奇妙物语 2018年春季特别篇 世にも奇妙な物語 ’18春の特別編,"科幻,悬疑,惊悚,恐怖",2018
"汤姆·休斯,索菲·库克森,朱迪·丹奇,特雷扎·萨博瓦,劳伦斯·斯佩尔曼,罗宾·索恩斯,Kevin Fuller,Simon Ludders,Ciarán Owens,Irfan Shamji","2018-09-07(多伦多电影节),2019-04-19(英国)",特雷弗·纳恩,27133565,英语,7.1,197,英国,101分钟,红琼 Red Joan,"剧情,惊悚,传记",2018
"耐安,张献民,杨明明,李勤勤,黄卫,袁丽,李文波","2019-05-17(中国大陆),2018-02-16(柏林电影节)",杨明明,26959074,汉语普通话,6.7,3288,中国大陆,117分钟,柔情史,"剧情,家庭",2018
"山寺宏一,高木涉,加隈亚衣,钉宫理惠,田中敦子,小野大辅,大塚芳忠,子安武人,诹访部顺一,梶裕贵,石田彰,河西健吾,长岛雄一,森川智之,三宅健太,长妻树里,罗杰·克莱格·史密斯,托尼·海尔,格蕾·德丽斯勒,塔拉·斯特朗,亚当·克罗斯代尔,弗雷德·塔特西奥,尤里·洛文塔尔,威尔·弗里德尔,汤姆·肯尼,艾瑞克·鲍扎,马修·杨·金","2018-04-24(美国),2018-06-15(日本)",水崎淳平,27160683,日语 / 英语,7.0,12645,日本 / 美国,85分钟,忍者蝙蝠侠 Batman Ninja,"动作,动画",2018
"玄彬,赵宇镇,张东健,金义城,李善彬,郑满植,徐智慧,赵达焕,金太祐,许成泰,朴镇宇,韩智恩,许俊硕,白秀章,郑惟安",2018-10-25(韩国),金成勋,26975011,韩语,5.7,6701,韩国,121分钟,猖獗 창궐,"动作,恐怖",2018
"李宇峰,杨砚铎,周华健,张喆,陈霖生",2018-04-05(中国大陆),王微,27114911,汉语普通话,6.2,5056,中国大陆,105分钟,猫与桃花源,"动画,家庭,冒险",2018
"Prunelle Charles-Ambron,Enzo Ratsito,纳塔莉·德赛","2018-06-11(安锡动画电影节),2018-10-10(法国)",米歇尔·欧斯洛,26695000,法语,8.0,172,法国,94分钟,迪哩哩在巴黎 Dilili à Paris,动画,2018
"丹尼·伯恩,丽娜·雷诺,洛朗斯·阿尔内,瓦莱丽·博莱同,盖伊·勒克卢瑟,弗朗索瓦·贝莱昂,皮埃尔·里夏尔,茱莉安娜·勒普罗,阿拉丁·瑞贝尔","2019-05-10(中国大陆),2018-02-28(法国)",丹尼·伯恩,27125208,法语,7.1,1733,法国,107分钟,欢迎来北方II La ch'tite famille,"剧情,喜剧",2018
"马里奥·卡萨斯,理查德·范·韦登,阿兰·埃尔南德斯,阿德里亚·萨拉查,爱德华·布赫,斯特凡·韦纳特,弗兰克·费斯,卢卡·佩洛斯,玛卡蕾娜·戈麦斯,丹尼斯·乌伊洛基,玛丽安·科奇什",2018-10-26(西班牙),玛·塔尔加纳,27601070,西班牙语,7.2,659,西班牙,110分钟,集中营里的摄影师 El fotógrafo de Mauthausen,"传记,历史,战争",2018
"艾米·舒默,米歇尔·威廉姆斯,汤姆·霍珀,罗里·斯卡沃,阿德里安·马丁斯,艾米丽·拉塔科斯基,艾迪·布莱恩特,贝茜·菲利普斯,劳伦·赫顿,萨西尔·扎玛塔,安吉拉·戴维斯,卡罗琳·戴,安娜斯塔吉亚·彼埃尔·弗里尔,吉娅 克罗瓦丁,奥莉维亚·库尔普,娜奥米·坎贝尔,杰弗里·格罗弗","2018-08-28(中国大陆),2018-04-20(美国)","艾比·科恩,马克·西尔弗斯坦",27021609,英语,6.3,8463,美国 / 中国大陆,110分钟,超大号美人 I Feel Pretty,喜剧,2018
"Rodrigue Sleiman,Bahij Hojeij,Sam Lahoud",2018-10-25(黎巴嫩),巴伊·霍杰,30446874,阿拉伯语,7.4,85,黎巴嫩 / 法国,87分钟,早安 غود مورنينغ,"剧情,喜剧",2018
"吴慷仁,林哲熹,李千那,谢欣颖,李铭忠,高捷,施名帅",2018-10-26(台湾),洪子烜,30291548,汉语普通话,6.4,1106,台湾,105分钟,狂徒,剧情,2018
"韩庚,凤小岳,李媛,山下智久,廖启智,迈克尔·帕帕约翰",2018-08-03(中国大陆),李海龙,26767512,汉语普通话,3.9,3815,中国大陆 / 香港 / 美国,99分钟,解码游戏,"喜剧,动作,犯罪",2018
"土屋太凤,北村匠海,小关裕太,矶村勇斗,杉野遥亮,稻叶友 Yu Inaba,泉里香,佐生雪",2018-12-14(日本),平川雄一朗,30155861,日语,5.7,452,日本,108分钟,守望春天的我们 春待つ僕ら,爱情,2018
"山田孝之,佐藤健,荒川良良,石桥桂,首くくり栲象,康巢恩,藤原季节,松隆子","2018-10-31(东京电影节),2018-11-23(日本)",山下敦弘,27109879,日语,6.5,2193,日本,124分钟,硬核机器人 ハード・コア,喜剧,2018
"Tomás Mrvík,Jan Frantisek Uher,Eliska Krenková",2018-09-06(捷克),奥尔默·欧默祖,30294888,捷克语,7.7,76,捷克 / 斯洛文尼亚 / 波兰 / 斯洛伐克 / 法国,85分钟,逝去的冬天 Všechno bude,"剧情,喜剧",2018
"本尼迪克特·康伯巴奇,克里斯蒂安·贝尔,凯特·布兰切特,安迪·瑟金斯,娜奥米·哈里斯,汤姆·霍兰德,杰克·莱诺,罗翰·昌德,埃迪·马森,彼得·穆兰,芙蕾达·平托,马修·瑞斯,路易斯·阿什伯恩·瑟金斯","2018-11-29(美国点映),2018-12-07(美国)",安迪·瑟金斯,25850442,英语,6.4,2385,美国,104分钟,森林之子毛克利 Mowgli,"剧情,冒险",2018
周子龙,2018-10-16(中国大陆),宋媚,30283308,汉语普通话,7.0,2242,中国大陆,90分钟,阿浪的远方,喜剧,2018
"吴克群,周依然,周键铭,苏士为,仇佩佩,刘晨霞,颜如晶,张本煜,潘粤明,林美秀",2018-10-26(中国大陆),吴克群,27603669,汉语普通话,3.8,2715,中国大陆,105分钟,为你写诗,"喜剧,爱情,奇幻",2018
"马特·波莫,Alejandro Patiño,Elena Campbell-Martinez,Shaughn Buchholz","2018-09-08(多伦多电影节),2019-06-07(美国)",约翰·巴特勒 John Butler,30143720,英语,7.1,214,爱尔兰,98分钟,糖心爹地 Papi Chulo,"喜剧,同性",2018
"琪琪·莱恩,史蒂芬·詹姆士,雷吉娜·金,科尔曼·多明戈,泰娜·帕丽斯,迈克尔·比奇,安洁纽·艾莉丝,埃博妮·奥西迪安,多米尼克·索恩,迭戈·卢纳,芬·维特洛克,艾德·斯克林,艾米莉·里奥斯,佩德罗·帕斯卡,布莱恩·泰里·亨利,玛西娅·让·库尔茨,戴夫·弗兰科,马科·查卡,费斯·洛根,桃乐丝·麦卡锡","2018-09-09(多伦多电影节),2018-12-14(美国)",巴里·詹金斯,27087130,英语 / 西班牙语,6.4,3466,美国,119分钟,假若比尔街能说话 If Beale Street Could Talk,"剧情,爱情,犯罪",2018
"达约·阿德,沙妮丝·班顿,克里斯塔·布里吉斯,亚当·布罗迪,阿曼达·克鲁,希拉·麦卡锡",2018-10-12(釜山电影节),Robert Heydon,26884360,英语,4.9,66,加拿大,81分钟,伊莎贝尔 Isabelle,惊悚,2018
"马吉德·马多,乔舒亚·斯特拉多斯基,珍妮·阿里安,塔尼娅·杰丝,娜西米耶·欧拉尔,梅乐蒂·克蕾沃,索妮娅·艾肯,穆罕默德·阿拉哈德,安尼·普拉克,埃琳娜·祖德梅尔,罗斯科·莱金,弗瑞特斯·拉姆布雷希茨,米兰达·炅灵,舒尔德·德拉格斯玛,贝琳达·范·德·斯杜普,贾斯汀·莫伊耶,马尔科姆·雨果·格伦",2018-03-07(荷兰),艾伦·斯密特,30172472,荷兰语,7.5,4359,荷兰,80分钟,好朋友 Gewoon Vrienden,"剧情,爱情,同性",2018
"玛丽亚·德·梅黛洛,Ishtar Yasin Gutierrez,Grettel Méndez",,Ishtar Yasin Gutierrez,30386861,西班牙语,5.8,103,哥斯达黎加 / 墨西哥,92分钟,两个弗里达 Dos Fridas,剧情,2018
"梶裕贵,石川由依,井上麻里奈,下野纮,小林优,三上枝织,藤田咲,细谷佳正,桥诘知久,谷山纪章,岛村侑,津田健次郎,朴璐美,小野大辅,神谷浩史,子安武人",2018-01-13(日本),"荒木哲郎,肥冢正史,田中洋之",27191405,日语,7.7,3786,日本,120分钟,进击的巨人剧场版：觉醒的咆哮 劇場版 進撃の巨人 Season 2 〜覚醒の咆哮〜,"动画,灾难",2018
"中条彩未,佐野勇斗,清水寻也,恒松祐里,上白石萌歌,优太朗,三浦贵大,神田沙也加,滨田麻里,竹内力","2018-06-18(上海电影节),2018-09-14(日本)",英勉,27082461,日语,6.0,2341,日本,115分钟,三次元女友 3D彼女 リアルガール,喜剧,2018
"克里斯蒂娜·亨德里克斯,拜莉·麦迪逊,马丁·亨德森,艾玛·贝洛米,刘易斯·普尔曼,莉·恩斯林,达米安·马菲,丽雅·罗伯茨,普雷斯顿·萨德莱,加布里埃尔·A·拜恩,桑尼·迪克西特",2018-03-09(美国),约翰内斯·罗伯茨,3212733,英语,4.3,741,美国,85分钟,陌生人2 The Strangers: Prey at Night,恐怖,2018
"樱井翔,广濑铃,福士苍汰,冈本多绪,高岛政伸,志田未来,佐藤江梨子,檀丽,玉木宏,中川雅也,丰川悦司",2018-05-04(日本),三池崇史,26999488,日语,5.5,3507,日本,115分钟,拉普拉斯的魔女 ラプラスの魔女,"剧情,悬疑",2018
"安德鲁·加菲尔德,狄波拉·盖夫娜,丽莉·克亚芙,瑞琪·琳德赫姆,克里斯·加恩,考莉·埃尔南德斯,杰西卡·马金森,丽兹·科菲,斯凯·埃洛巴,杰克逊·江恩,瑞克斯·林恩,托弗·戈瑞斯,佐莎·马梅特,安娜贝尔·德克斯特-琼斯,卢克·拜恩斯,艾莉·麦克唐纳,维多利亚·布鲁诺,格蕾丝·范·帕滕","2018-05-15(戛纳电影节),2019-04-19(美国)",大卫·罗伯特·米切尔,26786317,英语,6.5,5967,美国,139分钟,银湖之底 Under the Silver Lake,"剧情,喜剧,惊悚,犯罪",2018
"皆川暢ニ,磯崎義知,吉田芽吹",2018-10-27(东京电影节),田中征爾,30336175,日语,7.1,122,日本,113分钟,忧郁症患者 うつ病患者,剧情,2018
"徐洪浩,一龙,彭士腾,沈浩,王韬,聂远,曹凯,王强,郑卫莉,伊莉莎,达丽雅,一二先生,尚,蔡明凯,龙天,穆雷克","2018-11-23(中国大陆),2018-06-18(上海电影节)",宁海强,27102739,汉语普通话,3.5,4522,中国大陆,96分钟,中国蓝盔,"剧情,动作,战争",2018
"山田孝之,长泽雅美,室毅,胜矢,仲野太贺,山崎纮菜,大和田伸也,佐藤二朗,生越千晴,小宫有纱,青山美琦,樱井由纪,想乃",2018-06-01(日本),福田雄一,27191829,日语 / 英语 / 汉语普通话,6.9,4805,日本,114分钟,初吻50次 50回目のファーストキス,"喜剧,爱情",2018
"乔·塔斯利姆,伊科·乌艾斯,朱莉·埃斯特尔,冯推守,扎克·李,斯莱法·达尼什,耶皮·喀什南达,汉娜·阿尔·拉希德","2018-09-23(奥斯汀幻想电影节),2018-10-19(美国)",提莫·塔哈亚托,25864719,印度尼西亚语 / 英语 / 汉语普通话 / 法语,6.9,6232,印度尼西亚,121分钟,嗜人之夜 The Night Comes for Us,动作,2018
"裴淳华,詹米·多南,汤姆·霍兰德,斯坦利·图齐,安东尼萨桑·杰苏萨桑","2018-09-07(多伦多电影节),2018-11-02(美国点映),2018-11-16(美国)",马修·海涅曼,20425292,英语,7.1,5237,美国,110分钟,私人战争 A Private War,"剧情,传记,战争",2018
"石川由依,子安武人,日笠阳子,远藤绫,内山昂辉,茅原实里,户松遥",2018-07-04(日本),石立太一,30221777,日语,8.9,2224,日本,34分钟,紫罗兰永恒花园 Extra Episode ヴァイオレット・エヴァーガーデン Extra Episode,"剧情,动画",2018
"刘太旿,伊琳娜·斯达申鲍姆,罗曼·比利克,菲利普·阿杰耶夫,亚历山大·戈尔奇林,尼基塔·叶甫列莫夫,尤利娅·奥格,叶莲娜·科连诺娃,莉亚·阿赫扎科娃,安东·阿达辛斯基","2018-05-09(戛纳电影节),2018-06-07(俄罗斯)",基里尔·谢列布连尼科夫,30162520,俄语,7.8,6292,俄罗斯,126分钟,盛夏 Лето,"音乐,传记",2018
"佐野史郎,胜地凉,川荣李奈,坂口健太郎,国仲凉子,忍成修吾,森田凉花,本乡奏多,玉城蒂娜,希崎·杰西卡,田中树,松村北斗,髙地優吾",2018-11-10(日本),"都筑淳一,高桥荣树,星护,岩田和行,纸谷枫",30352946,日语,6.6,5421,日本,105分钟,世界奇妙物语 2018年秋季特别篇 世にも奇妙な物語 ’18秋の特別編,剧情,2018
"弗朗克·迪博斯克,亚历山德拉·拉米,艾尔莎·泽贝斯坦,热拉尔·达尔蒙,卡洛琳·安格鲁德,洛朗·巴图,克洛德·布拉瑟,弗朗索瓦-格扎维埃·德梅松,克里斯托弗·卡纳德,弗朗西斯·科菲内,源利华,菲利普·维约","2019-05-23(中国大陆),2018-03-14(法国)",弗朗克·迪博斯克,30170375,法语 / 英语 / 意大利语,7.4,5632,法国 / 比利时,107分钟,真爱百分百 Tout le monde debout,"喜剧,爱情",2018
"马尔切洛·丰特,爱德华多·佩谢,农齐娅·斯基亚诺,亚当·迪奥尼西,弗朗西斯科·阿克夸利,阿利达·巴尔达里·卡拉布里亚,阿涅洛·阿雷纳","2018-05-16(戛纳电影节),2018-05-17(意大利)",马提欧·加洛尼,27017673,意大利语,6.8,4137,意大利 / 法国,102分钟,犬舍惊魂 Dogman,"剧情,惊悚,犯罪",2018
"麦克斯·胡巴赫,艾伦·阿尔塔拉斯,杰西·莫拉维克,朱格·普拉斯,多诺·穆格勒,安德烈亚斯·马蒂,希尔温·阿米尼,法比齐奥·波萨尼,朱利安·科奇林,加布里埃尔·诺阿·马瑞尔,施塔隆·安德森,乔利斯·格拉沃尔",2018-02-22(瑞士),马塞尔·吉斯莱,30159390,瑞士德语 / 德语,7.3,6662,瑞士,124分钟,我的冠军男友 Mario,"剧情,爱情,同性,运动",2018
